topic,dimension,words,Count,Name,Representation
181,Sexuality,PhysicalApperances,387,181_炸裂_美炸_静脉曲张_炸飞,"['炸裂', '美炸', '静脉曲张', '炸飞', '炸碎', '发明', '丝袜', '火花', '老炸', '炸起']"
182,Sexuality,Courtship,460,182_先谈_我谈_这辈子_眼睛,"['先谈', '我谈', '这辈子', '眼睛', '想谈', '谈个', '纸尿裤', '谈不谈', '能谈', '让开']"
183,Sexuality,IntimateDivisionship,492,183_宝宝_宝贝_宝儿_宝子,"['宝宝', '宝贝', '宝儿', '宝子', '身高', '180', '宝子们', 'kids', '175', '高定']"
184,Evaluation,Approval,786,184_鼓掌_惊喜_佩服_哈哈哈哈,"['鼓掌', '惊喜', '佩服', '哈哈哈哈', '哈哈哈', '击掌', '求求', '我求', '不活', '跪下']"
185,Division,Insider,563,185_懂吗_差距_主打_骚哄,"['懂吗', '差距', '主打', '骚哄', '懂不懂', '差别', '区别', '反差', '摊整', '一个']"
186,Sexuality,IntimateDivisionship,727,186_他俩_评论_咱俩_两口子,"['他俩', '评论', '咱俩', '两口子', '两个', '这俩', '相声', '双胞胎', '一对', '比上']"
187,Evaluation,Approval,515,187_炸裂_发呆_相当_炸弹,"['炸裂', '发呆', '相当', '炸弹', '崩溃', '爆炸', '红脸', '大出血', '这血', 'dnf']"
188,Division,Insider,404,188_名字_认出来_挂饰_英文名,"['名字', '认出来', '挂饰', '英文名', '洋气', '点名', '改名', '改名字', '雄鹰', '网名']"
189,Identity,GenderIdentity,404,189_无辜_鉴别_分辨_辨别,"['无辜', '鉴别', '分辨', '辨别', '报名', 'cp', '个事', '事儿', '愿者上钩', '恩爱']"
190,Division,Insider,524,190_看不到_没见_plq_prep,"['看不到', '没见', 'plq', 'prep', '见过', '看不见', '看到', '有过', '看见', 'py']"
191,Division,Insider,493,191_我测_测测_来测_测试,"['我测', '测测', '来测', '测试', '快来测', '测出', '理解', '测完', '别测', '你测']"
192,Division,Insider,388,192_不会_我会_个泛_一脚,"['不会', '我会', '个泛', '一脚', 'will', '下次', '好会', '标签', '数数', 'cd']"
193,Sexuality,Courtship,464,193_多久_成分_秦皇岛_愿意,"['多久', '成分', '秦皇岛', '愿意', '周瑶', '复杂', '刮骨刀', '化学', '微笑', '阉割']"
194,Evaluation,PublicMorality,424,194_恶心_乱搞_周周_男同,"['恶心', '乱搞', '周周', '男同', '同性', '异性恋', '同性恋', '异性', '瑶瑶', '魔力']"
195,Subculture,Culture,503,195_好帅_惊呆_子期_九敏,"['好帅', '惊呆', '子期', '九敏', '微笑', 'mad', '惊为天人', '惊人', '我服', '惊到']"
196,Sexuality,PhysicalApperances,563,196_卫生巾_正义_胸口_小便,"['卫生巾', '正义', '胸口', '小便', '发呆', '之声', '撒尿', '姨妈', '尿不湿', '拉尿']"
197,Identity,GenderIdentity,451,197_丝袜_发明_高跟鞋_最早,"['丝袜', '发明', '高跟鞋', '最早', '男士', '设计', '欧洲', '最初', '贵族', '可爱']"
198,Sexuality,PhysicalApperances,389,198_声音_女声_男声_声带,"['声音', '女声', '男声', '声带', '男调', '声线', '好听', '女性化', '听不出来', '听不出']"
199,Division,Insider,453,199_一枝梅_深奥_快学_枕头,"['一枝梅', '深奥', '快学', '枕头', '不活', '帅晕', '阿姨', '一剪梅', '公主', '一支']"
201,Sexuality,Courtship,560,201_身高_180_170_190,"['身高', '180', '170', '190', '168', '原神', '175', '165', '北方', '无聊']"
203,Division,ParentApproval,545,203_懂吗_我妈_妈妈_孝顺,"['懂吗', '我妈', '妈妈', '孝顺', '不太懂', '家里', '父母', '我爸', '相亲', '懂不懂']"
204,Health,Genetics,422,204_发呆_后天_近亲_先天,"['发呆', '后天', '近亲', '先天', '天生', '黄骅', '干哈', '基因', '卧槽', '近亲繁殖']"
205,Health,Therapy,393,205_医生_医院_无缘_全靠,"['医生', '医院', '无缘', '全靠', '学医', '医学生', '39', '大夫', '妇科', '大叔']"
206,Evaluation,Approval,350,206_cp_师妹_追星_be,"['cp', '师妹', '追星', 'be', '一对', '磕个', 'id', '男同', '二次元', '浪漫派']"
207,Health,Therapy,432,207_整容_整一个_咋整_321,"['整容', '整一个', '咋整', '321', '太假', '整形', '整得', '整成', '整挺', '整过']"
208,Sexuality,Courtship,866,208_拿下_一张_照片_征服,"['拿下', '一张', '照片', '征服', '多万', '800w', '400', '500', '540w', '六百万']"
209,Identity,Freedom,438,209_开放_西方_思想_社会,"['开放', '西方', '思想', '社会', '国家', '进步', '价值观', '时代', '封建', '国外']"
210,Identity,LoveDefinition,379,210_取向_性取向_恶心_石化,"['取向', '性取向', '恶心', '石化', '人心', '从来不', '乱搞', '尊重', '性向', '无关']"
211,Evaluation,Approval,393,211_姐姐_关注_气叭_啊啊啊,"['姐姐', '关注', '气叭', '啊啊啊', '哈斯', '哈欠', '长姐', '亲亲', '咖啡', 'cpdd']"
212,Evaluation,Approval,461,212_说句话_理解_老公_不了,"['说句话', '理解', '老公', '不了', '大为', '特立独行', '理解万岁', '会试', '陶晶莹', '无法']"
213,Identity,GenderIdentity,414,213_裙子_小时候_来个_吊带裙,"['裙子', '小时候', '来个', '吊带裙', '围裙', '麻麻', '这图', '穿过', '奥特曼', '买件']"
215,Identity,Boundaries,579,215_标签_试试_贴标签_刻板,"['标签', '试试', '贴标签', '刻板', '几个', '印象', '震惊', '试纸', '凋谢', 'lisa']"
217,Subculture,Culture,365,217_哥哥_我哥_cpu_他爸,"['哥哥', '我哥', 'cpu', '他爸', '烧坏', '弟弟', '哥太对', '亲哥', '爸爸', '云吞']"
218,Health,Therapy,353,218_想切_割掉_一刀_棍子,"['想切', '割掉', '一刀', '棍子', '割下来', '小刀', '切掉', '疤痕', '切下来', '肋骨']"
219,Subculture,Culture,541,219_周周_路线_加入_周姐,"['周周', '路线', '加入', '周姐', '搞笑', '周周姐', '入侵', '颜值', '打扮起来', '进去']"
222,Evaluation,RecommendationAlgorithms,371,222_发呆_刷到_半兽人_天寒,"['发呆', '刷到', '半兽人', '天寒', 'estrus', 'zyz', 'else', '既刷', '離風', 'cherk']"
224,Evaluation,Approval,345,224_再见_系统_啊啊啊_我得,"['再见', '系统', '啊啊啊', '我得', '谈个', '冲冲', '爱心', '吼吼', '高质', '必须']"
225,Division,Society,395,225_txl_知道_无知_yhx,"['txl', '知道', '无知', 'yhx', '真不知道', '第一次', '一时间', 'vx', '周知', '一时之间']"
226,Sexuality,SexualBehaviors,460,226_真相_有图_三个_无图,"['真相', '有图', '三个', '无图', '没图', '原图', '照片', '阴影', '面积', '图二']"
227,Evaluation,Approval,375,227_可爱_小可爱_秘密_狐狸,"['可爱', '小可爱', '秘密', '狐狸', '惊喜', '生物', '监护人', '男里', 'kisskiss', '你好']"
229,Sexuality,Courtship,484,229_大姨_姨姨_阿姨_彩虹,"['大姨', '姨姨', '阿姨', '彩虹', '二姨', '莲花', '甜心', '追求', '小姨', '表白']"
230,Identity,LoveDefinition,389,230_知识_增加_奇怪_单性,"['知识', '增加', '奇怪', '单性', '奇奇怪怪', '单恋', '普及', '涨涨', '学习', '来涨']"
231,Evaluation,Approval,433,231_摩羯座_最后_太漂亮_什么游戏,"['摩羯座', '最后', '太漂亮', '什么游戏', '配摩', '我摩', '魔羯', '最配', '处女', '归摩']"
232,Sexuality,Courtship,493,232_好玩_分手_异地_分开,"['好玩', '分手', '异地', '分开', '玩儿', 'ex', '咋玩', '失恋', '能分', '真会']"
236,Health,Genetics,342,236_遗传_基因_生物_dna,"['遗传', '基因', '生物', 'dna', '遗传基因', '基因突变', '决定', '生物课', '天生', '生物学']"
237,Division,ParentApproval,443,237_我妈_我爸_妈妈_结婚,"['我妈', '我爸', '妈妈', '结婚', '爸妈', '父爱', '以后', '父母', '同意', '问过']"
240,Identity,Boundaries,377,240_温州_浙江_温州人_大笑,"['温州', '浙江', '温州人', '大笑', '偷笑', '这女', '杭州', '不当', 'one', '一種']"
241,Evaluation,Othersjudgments,424,241_真的假_伏特加_真假_好假,"['真的假', '伏特加', '真假', '好假', '有假', '造假', '啤酒', '可乐', '以假乱真', '两瓶']"
245,Evaluation,RecommendationAlgorithms,373,245_关注_分配_推送_陈婧,"['关注', '分配', '推送', '陈婧', '白眼', '从未', '果断', '错人', 'tiktok', '小羽']"
249,Evaluation,PublicMorality,430,249_裙子_扰民_穿包_规定,"['裙子', '扰民', '穿包', '规定', '小裙', '哪条', '法律', '过去', '短裙', '苏格兰']"
251,Identity,Legal,323,251_骗婚_同妻_当同妻_男同,"['骗婚', '同妻', '当同妻', '男同', '欺骗', '乱搞', '结婚', '恶心', '同性恋', '骗人']"
253,Division,Outsider,362,253_cpu_干烧_抽烟_冒烟,"['cpu', '干烧', '抽烟', '冒烟', '烧干', '干爆', '烟花', '烧坏', '一句', '要命']"
254,Evaluation,Approval,388,254_主播_能量_支持_这主播,"['主播', '能量', '支持', '这主播', '女主播', '正义', '性别', '关闭', '监狱', '直播']"
255,Sexuality,Courtship,657,255_女朋友_找个_男朋友_排队,"['女朋友', '找个', '男朋友', '排队', '歪日', '安排', '交换', '啥时候', '开幕', '雷击']"
259,Identity,Legal,418,259_进去_警察_破案_进不去,"['进去', '警察', '破案', '进不去', '放进去', '没进', '支持', '球球', '驱赶', '叔叔']"
260,Sexuality,Courtship,339,260_求个_想要_太吵_111111,"['求个', '想要', '太吵', '111111', '1111111', '要个', '噪音', '座位', '需要', '01']"
261,Evaluation,RecommendationAlgorithms,408,261_抱抱_会刷_我直_刷到,"['抱抱', '会刷', '我直', '刷到', '擦边', '老刷', '直女', '总刷', '一女', '女子']"
265,Evaluation,Approval,447,265_txl_好米_不用谢_男装,"['txl', '好米', '不用谢', '男装', '阿弥陀佛', '对不起', '不好意思', '谢谢', '感谢', '再见']"
268,Health,Therapy,416,268_变态_亲嘴_我孕点_不准,"['变态', '亲嘴', '我孕点', '不准', '床位', '痔疮', '共享', '发起', '一口', '女初']"
272,Identity,LoveDefinition,343,272_单恋_单性_叫性_我性,"['单恋', '单性', '叫性', '我性', '勇闯', '单向', 'lithromantic', '这不性', '这算性', 'lithos']"
278,Identity,LoveDefinition,391,278_泛性_我泛_性恋_二元,"['泛性', '我泛', '性恋', '二元', '最低', '说泛', '这颜值', '评价', '最高', '男神']"
281,Health,Therapy,367,281_药店_处方药_处方_这药,"['药店', '处方药', '处方', '这药', '买药', '吃药', '卖药', '家长', '责任', '违规']"
282,Identity,LoveDefinition,297,282_不直_直不直_不太直_江直,"['不直', '直不直', '不太直', '江直', '大道', '天府', '很直', '半直', '看起来', '那根']"
286,Identity,Boundaries,371,286_比心_le_建了_建个,"['比心', 'le', '建了', '建个', '人进', '婉拒', '要进', '有宝子', '小群', '扩大']"
287,Sexuality,Courtship,303,287_四川_泸州_成都_四川人,"['四川', '泸州', '成都', '四川人', '绵阳', '口音', '先谈', '南充', 'ppl', '土同']"
289,Evaluation,Approval,364,289_羡慕_好羡慕_树懒_冰河,"['羡慕', '好羡慕', '树懒', '冰河', '世纪', '椰子', '师大', '嫉妒', '自然', '树能']"
291,Sexuality,Courtship,298,291_遇到_遇不到_遇见_碰到,"['遇到', '遇不到', '遇见', '碰到', '偶遇', '想见', '有着', '后天', '确是', '但恋']"
292,Identity,Legal,438,292_白眼_报警_翻白眼_眼白,"['白眼', '报警', '翻白眼', '眼白', '投诉', '扰乱', '110', '监控', '扰民', '公共秩序']"
294,Identity,GenderIdentity,422,294_嫂子_加油_努力_坚持,"['嫂子', '加油', '努力', '坚持', '能量', '老嫂', '稳赢', '调养', '拳头', '兜兜']"
299,Sexuality,Courtship,377,299_嘎嘎_专业_奶粉_至上,"['嘎嘎', '专业', '奶粉', '至上', 'top', '奶一', '我奶', '有奶', '搜嘎', '好奶']"
301,Subculture,Culture,321,301_纸片_粘人_现实_迷死,"['纸片', '粘人', '现实', '迷死', '无感', '生理', '黏人', '碳基', '这算', '雄性']"
302,Identity,LoveDefinition,725,302_焦虑_生理_心理_年龄,"['焦虑', '生理', '心理', '年龄', '身体', '年纪', '男性', '冲动', '接触', '感兴趣']"
304,Division,Insider,282,304_不看_看看_来看_看嘛,"['不看', '看看', '来看', '看嘛', '别看', '喉结', '看吧', '不值', '报看', '瞧瞧']"
305,Subculture,Culture,299,305_社恐_磕到_摔死_吓死,"['社恐', '磕到', '摔死', '吓死', '磕过', '太好', '磕死', '吓人', '磕反', '别太好']"
306,Identity,GenderIdentity,290,306_性别_杨世兰_李博士_看不出,"['性别', '杨世兰', '李博士', '看不出', '看不出来', '跨女', 'gender', '手术', '物种', '天鹅']"
309,Identity,Legal,369,309_警察_叔叔_民警_91,"['警察', '叔叔', '民警', '91', '警官', '点赞', '80', '蜀黍', '92', '忍不住']"
310,Division,ParentApproval,431,310_说话_爸爸_哈欠_讲话,"['说话', '爸爸', '哈欠', '讲话', '我爸', '我服', '扣扣', '装逼', '语气', '爹妈']"
312,Sexuality,SexualBehaviors,528,312_抱抱_拥抱_不想_不敢,"['抱抱', '拥抱', '不想', '不敢', '想要', '睡觉', '幻想', '枕头', '想不通', '军嫂']"
313,Evaluation,Approval,277,313_谢谢_好米_会谢_不用谢,"['谢谢', '好米', '会谢', '不用谢', '小米', '感恩', '谢特', '我天', '子宫', '老谢']"
315,Identity,LoveDefinition,936,315_后来_接触_好看_朋友,"['后来', '接触', '好看', '朋友', '同性', '感情', '那种', '异性', '男生', '女生']"
316,Identity,LoveDefinition,314,316_纸性_性恋_纸片_破案,"['纸性', '性恋', '纸片', '破案', '深井', '总理', '浪漫', '我纸', '冰岛', '三次']"
317,Sexuality,PhysicalApperances,332,317_物种_好香_大润发_香香,"['物种', '好香', '大润发', '香香', '漂亮', '好爽', '软软', '爽死', '多香', '种族']"
318,Sexuality,PhysicalApperances,510,318_啊啊啊_哇哇_滚滚_色系,"['啊啊啊', '哇哇', '滚滚', '色系', '先谈', '爱看', '哦哦哦', '见色', '起意', '好看']"
319,Identity,LoveDefinition,337,319_属性_烙铁_tph_头发,"['属性', '烙铁', 'tph', '头发', '重要', '屬性', '撩开', '猜猜', '铁汉', '崔然竣']"
320,Identity,LoveDefinition,478,320_风格_这姐_姐姐_类型,"['风格', '这姐', '姐姐', '类型', '这种', '漂亮', '这款', '好美', '小姐姐', '姐妹']"
321,Health,AIDS,294,321_洗手_洗衣服_干净_洗手液,"['洗手', '洗衣服', '干净', '洗手液', '卫生', '七步', '脏东西', '很脏', '手法', '好脏']"
322,Evaluation,Approval,366,322_成功_姐姐_做到_过程,"['成功', '姐姐', '做到', '过程', '机会', '三次', '姐们', '泣不成声', '姐妹', '邻居']"
324,Sexuality,Courtship,416,324_单身_单着_脱单_未婚,"['单身', '单着', '脱单', '未婚', '未育', '送心', '94', '93', '草履虫', '爱看']"
325,Health,Therapy,376,325_拉屎_男童_便秘_女童,"['拉屎', '男童', '便秘', '女童', '大便', '不住', '幼儿园', '拉个', '撒尿', '泼粪']"
327,Evaluation,Approval,392,327_画面_消失_牛牛_牛马,"['画面', '消失', '牛牛', '牛马', '和谐', '真牛', '画面感', '河马', '牛子', '太牛']"
330,Identity,Boundaries,286,330_勇闯_一护_直女_尖椒,"['勇闯', '一护', '直女', '尖椒', '江西', '抚州', '无机物', 'tag', '评论', '还好']"
331,Evaluation,Approval,292,331_澡堂_比心_洗澡_浴室,"['澡堂', '比心', '洗澡', '浴室', '公共', '搓澡', '女浴室', '新人', '肥皂', '小文']"
332,Evaluation,Approval,320,332_心动_老婆_从小_伊藤诚,"['心动', '老婆', '从小', '伊藤诚', '奖励', '越出', '疯狂', '狠狠心', '红线', '初衷']"
334,Sexuality,PhysicalApperances,328,334_肚子疼_女相_漂亮_男孩子,"['肚子疼', '女相', '漂亮', '男孩子', '太痛', '好看', '男相', '肚子痛', '美男', '美的']"
336,Division,Society,321,336_朋友圈_造孽_说得对_zhi,"['朋友圈', '造孽', '说得对', 'zhi', '只格', '支格', '可能', '好能发', '好像', '主角']"
337,Evaluation,Approval,407,337_正常_发怒_终于_吐舌,"['正常', '发怒', '终于', '吐舌', '一回', '吐血', '总算', '彩超', '烦死', '汽油']"
338,Sexuality,PhysicalApperances,371,338_御姐_好好_御姐音_你好,"['御姐', '好好', '御姐音', '你好', '最好', 'pyyds', '和妹', '多好', '和姐', '不爱姐']"
339,Evaluation,Approval,499,339_加油_赞同_同意_说得好,"['加油', '赞同', '同意', '说得好', '奋斗', '反对', '同感', '应对', '宣传', '这句']"
340,Identity,LoveDefinition,350,340_律师_双面_不粘锅_生不逢时,"['律师', '双面', '不粘锅', '生不逢时', '泰国', '泰国人妖', '面筋', '警察', '人妖', '下岗']"
342,Health,Therapy,296,342_金星_成功_意思_传奇,"['金星', '成功', '意思', '传奇', '强大', '暗示', '徒弟', '敢说敢做', '老金', '迅录']"
343,Sexuality,Courtship,332,343_找对象_对象_不到_找个,"['找对象', '对象', '不到', '找个', '感谢', '找到', '发际', '发给', '王德发', '170']"
344,Sexuality,Courtship,256,344_le_要进_想建_建了,"['le', '要进', '想建', '建了', '有人', '想建个', '群嘛', '刚建', '人进', '群有']"
345,Division,Insider,423,345_两岁_剧本_震耳欲聋_记事,"['两岁', '剧本', '震耳欲聋', '记事', '沉默', '记忆', '陌生', '男同', '记得', '百闻不如一见']"
348,Evaluation,Othersjudgments,285,348_打死_打人_准死_挨打,"['打死', '打人', '准死', '挨打', '欠揍', '一拳', '真铜', '挨揍', '火炼', '男铜']"
349,Identity,Freedom,414,349_美国_97_多种_性别,"['美国', '97', '多种', '性别', '几十种', '民族', '评论', '国外', '九十七', '112']"
350,Health,Therapy,269,350_护士_护工_男护士_4i,"['护士', '护工', '男护士', '4i', '护理', '第一', '不住', '养老院', '湘潭', '长沙']"
352,Sexuality,Courtship,375,352_真帅_怀孕_没叫_孕吐,"['真帅', '怀孕', '没叫', '孕吐', '超越', '宁波', '花卷', '烦死', '讨厌', '模仿']"
353,Evaluation,Approval,751,353_加油_坚持_姐姐_姐妹,"['加油', '坚持', '姐姐', '姐妹', '大姐', '弟弟', '双胞胎', '坚持下去', '继续', '一起']"
354,Sexuality,SexualBehaviors,580,354_硅胶_男朋友_裤是_裤子,"['硅胶', '男朋友', '裤是', '裤子', '女朋友', '提灯', '内裤', '某宝', '淘宝', '男友']"
355,Identity,LoveDefinition,459,355_厌女_讨厌_不厌_厌蠢,"['厌女', '讨厌', '不厌', '厌蠢', '我厌', '主角', '会厌', '震撼', '看过', '更厌']"
356,Sexuality,Courtship,295,356_妖怪_西安_陕西_向日葵,"['妖怪', '西安', '陕西', '向日葵', '古灵精怪', '兰州', '中餐', '分鲲', '臣臣', '国衰']"
357,Sexuality,Courtship,283,357_我勒个_我豆_银行卡_2r22,"['我勒个', '我豆', '银行卡', '2r22', '00', '余额', '02', '考验', '数字', '二进制']"
358,Identity,GenderIdentity,586,358_人妖_男人_下辈子_男娘,"['人妖', '男人', '下辈子', '男娘', '皇后', '变性人', '这辈子', '男娘害', '爷们', '唱片']"
359,Evaluation,RecommendationAlgorithms,282,359_一毛_交个_矫情_想刀,"['一毛', '交个', '矫情', '想刀', '大刀', '我刀', '击剑', '账号', '一刀', '女号']"
360,Sexuality,Courtship,286,360_江苏_苏州_无锡_徐州,"['江苏', '苏州', '无锡', '徐州', '宽肩', '常德', '昆山', '常州', '中华', '扬州']"
362,Sexuality,SexualBehaviors,307,362_生理_子期_心理_性冲动,"['生理', '子期', '心理', '性冲动', '冲动', '爱恋', '上厌', '身体', '排斥', '精神']"
363,Evaluation,Approval,303,363_迷成_智障_迷死_乐死,"['迷成', '智障', '迷死', '乐死', '甜妹', '爆改', '气气', '迷得', '死死的', '沦陷']"
364,Sexuality,PhysicalApperances,254,364_手指_老实_我手_好长,"['手指', '老实', '我手', '好长', '手好', '看手', '这手', '手指头', '手好长', '手大']"
366,Sexuality,PhysicalApperances,332,366_喉结_眼熟_可悲_胳肢窝,"['喉结', '眼熟', '可悲', '胳肢窝', '母校', '明显', '喉咙', '味儿', '味道', '异味']"
367,Subculture,Culture,258,367_他俩_这俩_她俩_两人,"['他俩', '这俩', '她俩', '两人', '团结', '有事', '力量', '两个', 'good', '事儿']"
369,Subculture,Culture,253,369_超模_模特_汪欣蕾_好惨,"['超模', '模特', '汪欣蕾', '好惨', '参加', '新蕾', '过爱上', '节目', '欣蕾', '比赛']"
370,Evaluation,RecommendationAlgorithms,332,370_两禽_母母_公公_相悦,"['两禽', '母母', '公公', '相悦', '养成', '练成', '长久', '两情', '看吧', '账号']"
371,Evaluation,Othersjudgments,278,371_变态_支持_xiansheng_算人,"['变态', '支持', 'xiansheng', '算人', '生成器', '行径', '总体', '必出', '同劳', 'lt']"
372,Evaluation,Othersjudgments,254,372_反胃_吐出来_隔夜饭_晚饭,"['反胃', '吐出来', '隔夜饭', '晚饭', '喷出来', '早饭', '全吐', '整吐', '差点', '吃饭']"
373,Division,ParentApproval,272,373_爸爸_沙发_我爸_我服,"['爸爸', '沙发', '我爸', '我服', '老爸', '他爸', '父亲', '老爹', '钱德勒', '酒店']"
375,Evaluation,Othersjudgments,297,375_证据_口说无凭_证明_拿出,"['证据', '口说无凭', '证明', '拿出', '草履虫', '绞杀', '叫醒', '为证', '打游戏', '无凭无据']"
376,Sexuality,SexualBehaviors,272,376_钙片_金牛_宇哥_想象力,"['钙片', '金牛', '宇哥', '想象力', '中指', '幻术', '锯齿', '呜呜', '想法', '想象']"
377,Sexuality,Courtship,246,377_安徽_合肥_阜阳_淮安,"['安徽', '合肥', '阜阳', '淮安', '蚌埠', '镇江', 'ppl', '江苏', '泗洪', '宿州']"
378,Division,CarryonthefamilyLineage,291,378_子宫_卵巢_开玩笑_21,"['子宫', '卵巢', '开玩笑', '21', '摘除', '没长', '移植', '切除', '19', '20']"
379,Identity,Selfassessment,264,379_后来_当时_初中_接触,"['后来', '当时', '初中', '接触', '高中', '同学', '相处', '排斥', '性格', '男性']"
380,Identity,Boundaries,411,380_冰岛_刺激_法外_男人,"['冰岛', '刺激', '法外', '男人', '冰岛人', '伊藤诚', '人口', '发言', '破产', '女人']"
381,Evaluation,Approval,292,381_漂亮_北京_北体_东门,"['漂亮', '北京', '北体', '东门', '来北体', '京津冀', '北方', '京华', '紫禁城', '张北']"
382,Identity,Freedom,522,382_无奇不有_之大_世界_大千世界,"['无奇不有', '之大', '世界', '大千世界', '新世界', '啊啊啊', '人类', '外星人', '全世界', '大门']"
383,Sexuality,Courtship,253,383_类型_这种_贺嘉仪_张海娟,"['类型', '这种', '贺嘉仪', '张海娟', '书涵', '诗意', '张厚丽', '薛琪', '魔性', '喜欢']"
384,Identity,LoveDefinition,403,384_老铁_统治_接受_老铁们,"['老铁', '统治', '接受', '老铁们', '上瘾', '生理', '不了', '惊呆', '铁子', '世界']"
385,Identity,Boundaries,251,385_大爷_阿姨_老头_老太太,"['大爷', '阿姨', '老头', '老太太', '年老', '老人', '退休', '老爷', '梦特娇', '90']"
386,Identity,LoveDefinition,246,386_颜性_我颜性_颜门_染色体,"['颜性', '我颜性', '颜门', '染色体', '颜控', '恋颜狗', '菜狗', '颜狗', '确诊', '恋泛']"
387,Evaluation,Approval,262,387_万人_拿下_一张_照片,"['万人', '拿下', '一张', '照片', '学霸', '同胞', '征服', '看题', '607', '615']"
388,Identity,LoveDefinition,274,388_同性恋_爱心_小鸡_女同性恋,"['同性恋', '爱心', '小鸡', '女同性恋', '卧龙', '同性', '凤雏', '打脸', '鸭子', '土鸡']"
391,Identity,GenderIdentity,289,391_马来西亚_色鬼_人不人_邪术,"['马来西亚', '色鬼', '人不人', '邪术', '阴险', '见鬼', '法律', '三魂七魄', '鬼片', '三魂']"
392,Identity,LoveDefinition,267,392_翻译_钱性_性恋_拜金,"['翻译', '钱性', '性恋', '拜金', '凯文', '复杂', '有钱', '不瞒', '震惊', '听不懂']"
393,Health,AIDS,299,393_原版_脏东西_疯狂_完整版,"['原版', '脏东西', '疯狂', '完整版', '他用', '非礼', '好脏', '滑走', '霸凌者', '考必']"
394,Identity,LoveDefinition,451,394_男童_女童_东西_具体位置,"['男童', '女童', '东西', '具体位置', '三次', '男孩', '实物', '上次', '凝聚态', '窝次']"
395,Health,AIDS,276,395_送心_人渣_男渣_河里,"['送心', '人渣', '男渣', '河里', '暧昧', '目的性', '13p', '时嘴', '吸渣', '女渣']"
398,Division,Insider,262,398_听不懂_听懂_销冠_黑人,"['听不懂', '听懂', '销冠', '黑人', '完全', '加拿大人', '鲁滨逊', '高级', '星期五', '同人图']"
